,Statement,Link,Date,Source,Label
0,Martha?s Vineyard "used the military to deport every last illegal migrant from their island.?,https://www.politifact.com/factchecks/2022/sep/20/instagram-posts/military-didnt-deport-immigrants-marthas-vineyard/,"mber 20, 2022",Instagram posts,FALSE
1,Nostradamus ?accurately predicted Queen Elizabeth II?s passing.?,https://www.politifact.com/factchecks/2022/sep/20/facebook-posts/nostradamus-didnt-predict-queen-elizabeth-ii-would/,"mber 20, 2022",Facebook posts,FALSE
2,Nancy Pelosi ?almost burst out into laughter? at the Tsitsernakaberd Armenian Genocide Memorial Complex in Yerevan.,https://www.politifact.com/factchecks/2022/sep/20/viral-image/no-pelosi-didnt-laugh-armenian-genocide-memorial/,"mber 20, 2022",Viral image,FALSE
3,Says Tim Michels' family foundation "funded an organization that tracks women when they get near abortion clinics ? he wants to treat women like they're the criminals.",https://www.politifact.com/factchecks/2022/sep/20/politifact-group/ad-base-claim-tim-michels-wants-treat-women-crimin/,"mber 20, 2022",Liberal Groups,FALSE
4,Photo shows ?Queen Elizabeth and Prince Charles? bowing to Ethiopian Emperor Haile Selassie I.,https://www.politifact.com/factchecks/2022/sep/20/viral-image/no-isnt-photo-queen-elizabeth-ii-and-prince-charle/,"mber 20, 2022",Viral image,FALSE
5,"?This year, it's going to be over $1.5 trillion (that we?ve) reduced the debt.""",https://www.politifact.com/factchecks/2022/sep/20/joe-biden/joe-biden-leaves-out-context-60-minutes-comment-de/,"mber 20, 2022",Joe Biden,TRUE
6,?Supreme Court just voted to ban condoms.?,https://www.politifact.com/factchecks/2022/sep/20/instagram-posts/us-supreme-court-did-not-ban-condoms/,"mber 20, 2022",Instagram posts,FALSE
7,"""90% of (state Sen. Tom Barrett's) donors are from special interests""",https://www.politifact.com/factchecks/2022/sep/20/house-majority-pac/ad-confuses-donations-michigan-us-house-candidate-/,"mber 20, 2022",House Majority PAC,FALSE
8,All banks will soon have to turn over all coins to federal government ahead of pivot to using only electronic transactions.,https://www.politifact.com/factchecks/2022/sep/19/facebook-posts/no-banks-are-not-being-forced-hand-over-physical-c/,"mber 19, 2022",Facebook posts,FALSE
9,"Under Kathy Hoffman, ?student test scores plummeted. Even before COVID, under the current regime, over half of Arizona students were not proficient in reading or math.?",https://www.politifact.com/factchecks/2022/sep/19/tom-horne/attack-school-chief-kathy-hoffman-lacks-key-testin/,"mber 19, 2022",Tom Horne,FALSE
10,Image shows a Rebekah Jones campaign event.,https://www.politifact.com/factchecks/2022/sep/19/matt-gaetz/gaetz-draws-misleading-comparison-jones-campaign-e/,"mber 19, 2022",Matt Gaetz,FALSE
